VC,Vendor,Source
11524,,PPAP
11550,"KAYDON RING & SEAL, INC. A WHOLLY OWNED SUBSIDIARY OF SKF USA INC.",PPAP
12075,LEESTA INDUSTRIES LIMITED,PPAP
12138,MAGELLAN AEROSPACE HALEY,PPAP
12510,ATI LADISH LLC,PPAP
12544,CHARLES E. LARSON AND SONS INC,PPAP
12555,SMITHS TUBULAR SYSTEMS LACONIA INC,PPAP
12797,MITSUBISHI HEAVY IND. AERO ENG. LTD,PPAP
13403,MITCHELL AEROSPACE INC.,PPAP
13469,MESOTEC INC.,PPAP
13529,MEYER TOOL INC.,PPAP
13558,"HOWMET CORPORATION, WHITEHALL-MISCO",PPAP
13606,"FRANK MURKEN PRODUCTS, INC.",PPAP
13633,MERIDEN MFG INC,PPAP
13660,MILLER CASTINGS,PPAP
13663,MIBA GLEITLAGER AUSTRIA GMBH,PPAP
15165,NETUR INC,PPAP
15518,NORWICH AERO PRODUCTS INC,PPAP
15546,VITAL ENGINEERED COMPONENTS COMPANY,PPAP
15558,PARKER GAS TURBINE FUEL,PPAP
15618,NICHOLSONS SEALING TECHNOLOGIES LTD,PPAP
16215,TECNO TESSILE ADLER S.R.L AVIOCOST S.P.A,PPAP
16501,DRT AEROSPACE LLC WINSTED,PPAP
16713,PRATT & WHITNEY GEORGIA,PPAP
16948,PRATT & WHITNEY KALISZ SP. Z.O.O.,PPAP
16955,MEGGITT (ERLANGER) LLC DBA MEGGITT POLYMERS & COMPOSITES,PPAP
17150,PRECI-SPARK LTD,PPAP
17233,PRATT & WHITNEY RZESZOW S.A.,PPAP
17524,PALL AEROPOWER CORPORATION,PPAP
17526,PRATT & WHITNEY,PPAP
17560,PEGASUS MANUFACTURING,PPAP
17600,PROJECTS INC,PPAP
17738,PARKER HANNIFIN CORPORATION,PPAP
17747,EATON CORPORATION,PPAP
18105,QUELOZ & ASSOCIES INC.,PPAP
19460,ROSEMOUNT AEROSPACE INC.,PPAP
19543,"HOWMET CORP. , WHITEHALL-BENSTON | THERMATECH",PPAP
19573,RECCO PRODUCTS INC.,PPAP
19602,,PPAP
19686,SOCIETE RATIER FIGEAC,PPAP
20135,A.T.L.A.S. AERONAUTIK INC.,PPAP
20545,PARKER AEROSPACE GAS TURBINE FUEL,PPAP
20582,SMALLEY STEEL,PPAP
20608,HARCOSEMCO LLC,PPAP
20639,MEGGITT (TROY) INC,PPAP
20698,ENJET AERO MANCHESTER LLC.,PPAP
20724,TIMKEN AEROSPACE,PPAP
21513,"PCC AIRFOILS INC., DOUGLAS DIVISION",PPAP
21538,THERMAL STRUCTURES INC.,PPAP
21565,"EATON AEROSPACE, TODECO",PPAP
21632,RBC TRANSPORT DYNAMICS,PPAP
21663,TA AEROSPACE CO,PPAP
21737,PCC AIRFOILS INC.MINERVA,PPAP
23153,VESTSHELL INC,PPAP
23520,,PPAP
24511,WOODWARD INC,PPAP
24540,WAYNE WIRE CLOTH PRODUCTS INC,PPAP
24558,WELLMAN DYNAMICS CORP,PPAP
27767,SERVOTRONICS INC.,PPAP
29501,"HOWMET CORPORATION, LAPORTE",PPAP
29506,"HOWMET CORP. , WHITEHALL S. WARNER",PPAP
29554,"EATON AEROQUIP CORPORATION, JACKSON",PPAP
31041,ABIPA CANADA INC.,PPAP
33190,HOWMET GEORGETOWN CASTINGS,PPAP
43135,HS MARSTON AEROSPACE LTD,PPAP
43309,MTU AERO ENGINES AG,PPAP
60340,"PARKER HANNIFIN CORP., FORT WORTH",PPAP
60699,,PPAP
61434,HONEYWELL HARDWARE PRODUCT,PPAP
62817,BLANC AERO INDUSTRIES,PPAP
63010,AECC SOUTH INDUSTRY COMPANY LIMITED,PPAP
63051,COMTEK ADVANCED STRUCTURES LTD.,PPAP
64796,HITCHINER MANUFACTURING CO.INC.,PPAP
65588,P&WC COMPONENT REPAIRS (WICHITA FAL,PPAP
65853,HIREL CONNECTORS INC,PPAP
600022,PRATT & WHITNEY CANADA (PL22) A&T PLANT 22,PPAP
700057,SOUTH PRATT & WHITNEY AERO-ENGINES,PPAP
700398,PRATT & WHITNEY AEROTECH,PPAP
700906,FOKKER ELMO BV,PPAP
701103,PCC - SCHLOSSER,PPAP
701362,MAGELLAN AEROSPACE GLENDALE INC,PPAP
701445,MAGNETIC SEAL CORP.,PPAP
701473,"ALIGN AEROSPACE CANADA, ULC",PPAP
701979,,PPAP
702055,WALBAR LLC,PPAP
702095,WELDMAC MFG. COMPANY,PPAP
702202,SL MONTEVIDEO TECHNOLOGY INC,PPAP
